Item Name,Brand,Color,Location Found,Date Found,Lost Date,Item Category,Reported Lost Duration,Owner Information,Finder Information,Item Value,Condition When Found,Security Camera Coverage,Location Traffic,Weather Conditions,Event Occurrence,Found
ID Card,-,MediumSeaGreen,Library Entrance,29-01-2024,19-01-2024,Personal Accessories,20-01-2024,First Time Reporter,Housekeeping,Low,Excellent,Not Covered,High Traffic,Snowy,During Event,No
Scarf,-,HotPink,Bookstore,08-10-2023,29-09-2023,Personal Accessories,02-10-2023,Repeat Reporter,Information Desk,High,Good,Covered,Low Traffic,Cloudy,Normal Day,Yes
Gloves,-,Aquamarine,Gym,29-05-2023,28-05-2023,Clothing,28-05-2023,First Time Reporter,Housekeeping,Medium,Damaged,Covered,High Traffic,Sunny,During Event,Yes
Tumbler,-,Cornsilk,Lecture Hall 104,12-02-2023,05-02-2023,Personal Accessories,06-02-2023,First Time Reporter,Information Desk,High,Good,Not Covered,High Traffic,Rainy,During Event,Yes
Phone Charger,-,DarkMagenta,Student Lounge,18-01-2024,26-12-2023,Personal Accessories,18-01-2024,First Time Reporter,None,Medium,Good,Covered,Moderate Traffic,Sunny,During Event,Yes
Headphones,-,Green,Trailhead,13-02-2024,06-02-2024,Personal Accessories,11-02-2024,Repeat Reporter,Security,Medium,Damaged,Covered,Low Traffic,Sunny,During Event,Yes
ID Card,-,Navy,Shopping Mall,23-12-2023,19-12-2023,Sporting Goods,23-12-2023,Repeat Reporter,None,Medium,Damaged,Not Covered,Low Traffic,Cloudy,Normal Day,Yes
Cell Phone,"Allen, Fowler and Lee",PaleGoldenRod,Library,10-01-2023,20-12-2022,Electronics,08-01-2023,Repeat Reporter,Housekeeping,High,Excellent,Not Covered,Moderate Traffic,Cloudy,During Event,Yes
Charger,Reese-Johnson,LightSalmon,Cafeteria,25-01-2024,12-01-2024,Clothing,19-01-2024,Repeat Reporter,Housekeeping,Low,Good,Covered,Low Traffic,Sunny,Normal Day,Yes
Backpack,Barr and Sons,SlateBlue,Lecture Hall 102,21-10-2023,14-10-2023,Sporting Goods,18-10-2023,First Time Reporter,None,High,Damaged,Not Covered,Low Traffic,Cloudy,Normal Day,Yes
Charger,Walker-Woodard,RosyBrown,Student Center,01-09-2023,08-08-2023,Electronics,16-08-2023,First Time Reporter,None,High,Excellent,Not Covered,Low Traffic,Rainy,Normal Day,Yes
Jacket,Andrews Inc,Lavender,Gym Locker Room,02-04-2024,17-03-2024,Books,23-03-2024,First Time Reporter,Information Desk,High,Good,Covered,Low Traffic,Cloudy,During Event,Yes
Necklace,-,Pink,Bus Stop,05-05-2024,29-04-2024,Clothing,30-04-2024,First Time Reporter,None,Medium,Excellent,Not Covered,Moderate Traffic,Cloudy,Normal Day,No
Jacket,-,Beige,Classroom 204,24-05-2023,30-04-2023,Books,13-05-2023,First Time Reporter,None,Low,Excellent,Not Covered,High Traffic,Cloudy,Normal Day,Yes
Notebook,-,Orange,Science Building,11-02-2023,14-01-2023,Sporting Goods,11-02-2023,First Time Reporter,Information Desk,Medium,Good,Covered,High Traffic,Snowy,During Event,Yes
Gloves,Cox Ltd,LightSlateGray,Quad,27-08-2024,19-08-2024,Electronics,24-08-2024,Repeat Reporter,Housekeeping,Low,Damaged,Not Covered,High Traffic,Rainy,During Event,Yes
Hat,-,LimeGreen,Dormitory Lounge,28-05-2023,01-05-2023,Books,10-05-2023,Repeat Reporter,Information Desk,Medium,Good,Not Covered,Moderate Traffic,Cloudy,During Event,No
Gloves,-,YellowGreen,Outdoor Amphitheater,28-01-2024,11-01-2024,Personal Accessories,18-01-2024,First Time Reporter,Security,Medium,Good,Covered,Low Traffic,Rainy,During Event,Yes
Water Bottle,"Bennett, Booker and Jones",Gray,Library Study Room,05-03-2023,20-02-2023,Sporting Goods,23-02-2023,Repeat Reporter,Security,Low,Excellent,Covered,Moderate Traffic,Cloudy,Normal Day,Yes
Watch,-,PowderBlue,Coffee Shop,05-09-2024,30-08-2024,Personal Accessories,05-09-2024,First Time Reporter,Housekeeping,High,Damaged,Not Covered,High Traffic,Snowy,Normal Day,Yes
Tablet,-,GreenYellow,Basketball Court,21-07-2024,07-07-2024,Clothing,11-07-2024,First Time Reporter,None,Medium,Damaged,Not Covered,High Traffic,Sunny,Normal Day,Yes
Hat,Cruz and Sons,LightSteelBlue,Park,29-08-2023,15-08-2023,Sporting Goods,19-08-2023,Repeat Reporter,Information Desk,Low,Excellent,Covered,Low Traffic,Sunny,Normal Day,Yes
Charger,Beck-Huffman,LightBlue,Stadium Bleachers,06-04-2023,15-03-2023,Clothing,24-03-2023,Repeat Reporter,Housekeeping,High,Excellent,Not Covered,Low Traffic,Sunny,During Event,Yes
Hat,-,MediumPurple,Common Area,09-03-2023,27-02-2023,Clothing,09-03-2023,Repeat Reporter,Information Desk,Medium,Excellent,Not Covered,High Traffic,Rainy,Normal Day,Yes
Backpack,-,MistyRose,Fitness Center,11-04-2023,28-03-2023,Sporting Goods,01-04-2023,First Time Reporter,None,Low,Good,Not Covered,High Traffic,Snowy,During Event,No
Sunglasses,-,PeachPuff,Cafeteria,03-12-2024,25-11-2024,Sporting Goods,03-12-2024,First Time Reporter,None,High,Damaged,Not Covered,Moderate Traffic,Cloudy,Normal Day,No
ID Card,Morgan-Johnson,SaddleBrown,Skate Park,30-06-2024,29-06-2024,Personal Accessories,29-06-2024,Repeat Reporter,Information Desk,High,Damaged,Covered,Low Traffic,Snowy,During Event,Yes
Laptop,-,LightGray,Library Stacks,11-02-2023,25-01-2023,Clothing,31-01-2023,First Time Reporter,Security,High,Damaged,Not Covered,Moderate Traffic,Snowy,During Event,Yes
Umbrella,-,LightPink,Art Studio,05-01-2024,19-12-2023,Sporting Goods,28-12-2023,Repeat Reporter,Information Desk,Low,Excellent,Not Covered,Moderate Traffic,Rainy,Normal Day,No
Notebook,Hopkins and Sons,LightBlue,Student Lounge,24-11-2023,12-11-2023,Electronics,21-11-2023,First Time Reporter,None,Low,Good,Not Covered,Moderate Traffic,Cloudy,During Event,Yes
Laptop,"Bell, Ali and Webb",Aquamarine,Auditorium,07-12-2023,27-11-2023,Clothing,30-11-2023,First Time Reporter,None,Medium,Excellent,Covered,Low Traffic,Rainy,During Event,Yes
Umbrella,Taylor PLC,Silver,Bus Station,15-07-2024,02-07-2024,Books,11-07-2024,Repeat Reporter,Housekeeping,Medium,Damaged,Covered,Low Traffic,Cloudy,Normal Day,Yes
Earbuds,-,HoneyDew,Soccer Field,16-05-2023,28-04-2023,Personal Accessories,09-05-2023,First Time Reporter,Information Desk,High,Good,Not Covered,Low Traffic,Rainy,Normal Day,Yes
Gloves,Casey PLC,Bisque,Chemistry Lab,04-03-2023,24-02-2023,Clothing,04-03-2023,Repeat Reporter,None,High,Damaged,Covered,Moderate Traffic,Snowy,During Event,No
Hat,-,Peru,Outdoor Concert Venue,29-07-2023,16-07-2023,Books,26-07-2023,First Time Reporter,Housekeeping,Medium,Damaged,Not Covered,Moderate Traffic,Sunny,Normal Day,No
Keys,Torres-Medina,DarkGray,Study Lounge,20-01-2023,18-01-2023,Electronics,18-01-2023,First Time Reporter,Housekeeping,Low,Damaged,Not Covered,Moderate Traffic,Cloudy,During Event,Yes
Book,-,Indigo,Beach,02-12-2023,08-11-2023,Electronics,08-11-2023,First Time Reporter,Housekeeping,Medium,Damaged,Covered,High Traffic,Snowy,During Event,Yes
Charger,-,Aqua,Dormitory Hallway,21-09-2023,23-08-2023,Clothing,26-08-2023,First Time Reporter,Security,Low,Excellent,Covered,Low Traffic,Snowy,During Event,Yes
Book,"Alvarez, Duncan and Vazquez",MediumSeaGreen,Lecture Hall Lobby,18-11-2023,25-10-2023,Personal Accessories,14-11-2023,Repeat Reporter,None,High,Damaged,Covered,Low Traffic,Cloudy,Normal Day,Yes
Necklace,-,MediumPurple,Bookstore,10-11-2024,07-11-2024,Electronics,09-11-2024,Repeat Reporter,None,Medium,Good,Not Covered,Low Traffic,Snowy,Normal Day,Yes
Earbuds,-,Lime,Music Studio,10-10-2023,16-09-2023,Sporting Goods,01-10-2023,First Time Reporter,Information Desk,High,Good,Not Covered,High Traffic,Rainy,Normal Day,Yes
Headphones,Medina Group,MediumSlateBlue,Computer Lab,22-05-2023,29-04-2023,Clothing,05-05-2023,First Time Reporter,Housekeeping,Low,Excellent,Not Covered,High Traffic,Rainy,During Event,No
Scarf,Jones-Ortiz,LimeGreen,Botanical Garden,06-05-2024,05-05-2024,Books,05-05-2024,First Time Reporter,Information Desk,Low,Damaged,Covered,High Traffic,Sunny,During Event,Yes
Cell Phone,-,Chartreuse,Theme Park Entrance,24-05-2023,09-05-2023,Electronics,20-05-2023,Repeat Reporter,Security,Medium,Damaged,Covered,Low Traffic,Snowy,Normal Day,Yes
Scarf,-,Pink,Shopping Mall,03-08-2024,01-08-2024,Sporting Goods,03-08-2024,First Time Reporter,None,High,Damaged,Not Covered,Low Traffic,Snowy,During Event,No
Charger,Lopez and Sons,AliceBlue,Rooftop Bar,14-08-2023,28-07-2023,Personal Accessories,09-08-2023,First Time Reporter,None,High,Good,Covered,Low Traffic,Sunny,During Event,No
Earbuds,Mcmillan-Wilson,HotPink,Gym,20-10-2024,18-10-2024,Personal Accessories,20-10-2024,Repeat Reporter,Security,Low,Good,Covered,High Traffic,Cloudy,During Event,Yes
Coffee Mug,-,Brown,Ice Skating Rink,10-05-2023,03-05-2023,Sporting Goods,10-05-2023,First Time Reporter,None,High,Damaged,Covered,High Traffic,Rainy,During Event,Yes
Tablet,-,MediumSlateBlue,Student Center,31-01-2024,10-01-2024,Sporting Goods,20-01-2024,Repeat Reporter,Security,Medium,Good,Covered,High Traffic,Snowy,During Event,Yes
Wallet,-,LightCyan,Coffee Shop Patio,16-07-2023,03-07-2023,Electronics,15-07-2023,Repeat Reporter,Security,Low,Good,Covered,Low Traffic,Rainy,During Event,Yes
ID Card,-,MediumTurquoise,Rooftop Pool,11-08-2024,04-08-2024,Books,08-08-2024,First Time Reporter,Information Desk,Medium,Excellent,Not Covered,High Traffic,Rainy,Normal Day,Yes
Cell Phone,"Jones, White and Brown",DarkOrange,Campus Trail,26-08-2024,21-08-2024,Personal Accessories,22-08-2024,First Time Reporter,Security,Low,Damaged,Not Covered,High Traffic,Rainy,Normal Day,No
Gloves,-,CornflowerBlue,Stadium Stands,10-12-2024,13-11-2024,Books,01-12-2024,Repeat Reporter,Housekeeping,Low,Excellent,Covered,High Traffic,Sunny,Normal Day,Yes
Backpack,-,DarkOliveGreen,Study Lounge,15-05-2023,08-05-2023,Books,13-05-2023,Repeat Reporter,Security,Medium,Good,Not Covered,Moderate Traffic,Rainy,During Event,Yes
Laptop,-,DarkOliveGreen,Library,21-04-2024,19-04-2024,Sporting Goods,21-04-2024,First Time Reporter,Security,Low,Good,Covered,Low Traffic,Sunny,Normal Day,Yes
Hat,-,Navy,Park,08-03-2024,07-03-2024,Sporting Goods,08-03-2024,First Time Reporter,Security,High,Damaged,Covered,Low Traffic,Snowy,Normal Day,Yes
ID Card,"Collier, Mason and Davis",LightSalmon,Student Union,08-05-2023,25-04-2023,Electronics,29-04-2023,First Time Reporter,Information Desk,Medium,Excellent,Covered,High Traffic,Cloudy,Normal Day,No
Wallet,Rocha-Johnston,Salmon,Bus Stop,22-05-2024,09-05-2024,Sporting Goods,11-05-2024,Repeat Reporter,None,High,Excellent,Not Covered,Moderate Traffic,Snowy,During Event,No
Laptop,-,OrangeRed,Cafeteria,03-02-2024,16-01-2024,Sporting Goods,18-01-2024,First Time Reporter,Housekeeping,Low,Good,Not Covered,High Traffic,Cloudy,Normal Day,Yes
Notebook,Simmons Inc,LightSlateGray,Bus Stop,14-04-2023,05-04-2023,Electronics,14-04-2023,First Time Reporter,None,High,Excellent,Covered,Low Traffic,Snowy,During Event,Yes
Umbrella,-,Beige,Cafeteria,21-08-2024,20-08-2024,Books,21-08-2024,First Time Reporter,Security,High,Excellent,Not Covered,High Traffic,Sunny,During Event,Yes
Laptop,"Johnson, Wilkins and Daniels",Cornsilk,Library Study Room,28-05-2024,19-05-2024,Sporting Goods,27-05-2024,Repeat Reporter,Security,Low,Good,Covered,Moderate Traffic,Snowy,During Event,Yes
Headphones,-,LightGray,Student Union,23-12-2024,21-12-2024,Clothing,21-12-2024,First Time Reporter,Information Desk,Medium,Good,Not Covered,High Traffic,Cloudy,During Event,Yes
Keys,"Miller, Ochoa and Davis",LightSlateGray,Outdoor Patio,09-02-2024,04-02-2024,Books,04-02-2024,Repeat Reporter,Information Desk,Medium,Excellent,Covered,Moderate Traffic,Rainy,Normal Day,Yes
Charger,Little PLC,Tan,Computer Lab,01-10-2024,09-09-2024,Sporting Goods,22-09-2024,First Time Reporter,Housekeeping,Low,Damaged,Covered,Low Traffic,Cloudy,During Event,Yes
Hat,Smith PLC,Peru,Library,16-01-2024,31-12-2023,Personal Accessories,05-01-2024,First Time Reporter,Information Desk,Low,Good,Covered,High Traffic,Rainy,During Event,Yes
Tablet,"Anderson, Adams and Jenkins",DarkOliveGreen,Gym,08-11-2024,11-10-2024,Sporting Goods,11-10-2024,First Time Reporter,Housekeeping,Low,Damaged,Covered,Low Traffic,Snowy,Normal Day,Yes
Backpack,"Warner, Taylor and Andrews",DarkSalmon,Quad,01-03-2024,11-02-2024,Personal Accessories,27-02-2024,Repeat Reporter,Information Desk,Low,Excellent,Covered,High Traffic,Cloudy,During Event,Yes
Headphones,-,Plum,Cafeteria,16-07-2024,27-06-2024,Sporting Goods,28-06-2024,Repeat Reporter,None,High,Excellent,Covered,Moderate Traffic,Rainy,Normal Day,Yes
Scarf,-,White,Baseball Field,23-04-2023,20-04-2023,Sporting Goods,22-04-2023,Repeat Reporter,Housekeeping,Low,Good,Not Covered,Low Traffic,Cloudy,During Event,Yes
ID Card,-,DeepPink,Football Stadium,11-10-2024,23-09-2024,Personal Accessories,01-10-2024,Repeat Reporter,None,Low,Excellent,Covered,Moderate Traffic,Snowy,During Event,Yes
Tablet,"Hinton, Rose and Green",Gainsboro,Shopping Mall,28-08-2023,17-08-2023,Clothing,18-08-2023,First Time Reporter,Information Desk,Medium,Damaged,Covered,Moderate Traffic,Rainy,During Event,No
Phone Charger,-,Blue,Rooftop Bar,14-02-2024,24-01-2024,Books,03-02-2024,Repeat Reporter,Housekeeping,High,Damaged,Covered,Low Traffic,Cloudy,During Event,Yes
Necklace,"Kim, Dunn and Newman",PeachPuff,Library Stacks,04-12-2024,15-11-2024,Clothing,29-11-2024,First Time Reporter,Information Desk,Medium,Damaged,Covered,Moderate Traffic,Sunny,During Event,Yes
Backpack,-,OldLace,Bus Ride,15-10-2023,14-10-2023,Sporting Goods,14-10-2023,First Time Reporter,Housekeeping,High,Excellent,Not Covered,Low Traffic,Rainy,During Event,Yes
Scarf,Newton Ltd,MistyRose,Coffee Shop,30-07-2023,19-07-2023,Sporting Goods,27-07-2023,Repeat Reporter,None,Low,Good,Not Covered,Moderate Traffic,Cloudy,Normal Day,Yes
Earbuds,Jacobs Ltd,Salmon,Park,27-02-2023,19-02-2023,Sporting Goods,23-02-2023,First Time Reporter,Security,Low,Damaged,Covered,Low Traffic,Sunny,Normal Day,Yes
Notebook,"Scott, Chavez and Brown",ForestGreen,Classroom 303,16-12-2024,13-12-2024,Clothing,15-12-2024,First Time Reporter,Housekeeping,Medium,Excellent,Not Covered,Moderate Traffic,Cloudy,During Event,Yes
Cell Phone,-,Silver,Student Lounge,02-04-2023,09-03-2023,Personal Accessories,25-03-2023,Repeat Reporter,None,Low,Good,Not Covered,High Traffic,Sunny,During Event,No
Headphones,Gallagher-Knight,Purple,Dormitory Lounge,19-04-2023,29-03-2023,Books,10-04-2023,Repeat Reporter,Information Desk,Low,Damaged,Not Covered,Low Traffic,Rainy,During Event,Yes
Notebook,-,Beige,Soccer Field,04-04-2024,08-03-2024,Books,28-03-2024,Repeat Reporter,None,High,Excellent,Covered,Moderate Traffic,Cloudy,Normal Day,Yes
Phone Charger,"Patel, Harrison and Henson",Snow,Science Building,05-01-2024,18-12-2023,Electronics,22-12-2023,First Time Reporter,Information Desk,Low,Damaged,Covered,Low Traffic,Cloudy,Normal Day,Yes
ID Card,Martinez-Mendoza,LimeGreen,Hiking Trail,08-11-2023,13-10-2023,Books,07-11-2023,First Time Reporter,Information Desk,Low,Damaged,Not Covered,High Traffic,Cloudy,During Event,Yes
Earbuds,Johnson Inc,DarkRed,Student Center,05-12-2024,22-11-2024,Books,01-12-2024,Repeat Reporter,Information Desk,High,Damaged,Covered,High Traffic,Cloudy,Normal Day,Yes
Watch,-,Red,Outdoor Concert Venue,30-03-2023,08-03-2023,Electronics,28-03-2023,Repeat Reporter,Security,High,Excellent,Not Covered,High Traffic,Snowy,During Event,No
Laptop,Porter-Smith,SandyBrown,Library,28-08-2023,19-08-2023,Electronics,21-08-2023,First Time Reporter,Housekeeping,Medium,Good,Covered,Moderate Traffic,Sunny,During Event,Yes
Hat,-,GhostWhite,Classroom 201,06-07-2024,01-07-2024,Sporting Goods,01-07-2024,First Time Reporter,Information Desk,High,Good,Not Covered,High Traffic,Snowy,During Event,No
ID Card,-,Crimson,Library Study Room,15-01-2024,22-12-2023,Personal Accessories,22-12-2023,Repeat Reporter,Security,High,Damaged,Covered,Low Traffic,Cloudy,Normal Day,No
ID Card,Walker and Sons,SaddleBrown,Bus Stop,08-05-2024,15-04-2024,Electronics,26-04-2024,First Time Reporter,None,Low,Good,Covered,High Traffic,Snowy,Normal Day,Yes
Keys,-,Pink,Beach,10-10-2024,03-10-2024,Clothing,05-10-2024,First Time Reporter,None,High,Excellent,Not Covered,Moderate Traffic,Sunny,Normal Day,Yes
ID Card,Jensen Ltd,Gold,Study Lounge,04-10-2024,28-09-2024,Clothing,28-09-2024,First Time Reporter,Information Desk,High,Excellent,Covered,Moderate Traffic,Cloudy,Normal Day,Yes
Tumbler,Suarez PLC,MediumSpringGreen,Coffee Shop,21-06-2023,29-05-2023,Personal Accessories,19-06-2023,First Time Reporter,Housekeeping,Low,Damaged,Not Covered,Low Traffic,Rainy,During Event,Yes
Wallet,-,Olive,Library Entrance,20-09-2023,02-09-2023,Personal Accessories,12-09-2023,Repeat Reporter,Housekeeping,Low,Excellent,Covered,Moderate Traffic,Rainy,During Event,Yes
Book,-,Teal,Bookstore,11-05-2024,04-05-2024,Personal Accessories,09-05-2024,First Time Reporter,Information Desk,Low,Good,Not Covered,Low Traffic,Snowy,Normal Day,Yes
Keys,-,MediumSlateBlue,Gym,06-01-2023,04-01-2023,Clothing,04-01-2023,Repeat Reporter,Security,Medium,Excellent,Not Covered,High Traffic,Snowy,Normal Day,Yes
Water Bottle,Thornton-Pope,LightSteelBlue,Lecture Hall 104,28-02-2024,24-02-2024,Clothing,26-02-2024,Repeat Reporter,None,High,Damaged,Covered,Moderate Traffic,Cloudy,During Event,Yes
Cell Phone,-,Gray,Student Lounge,22-02-2024,27-01-2024,Electronics,31-01-2024,First Time Reporter,Housekeeping,High,Good,Not Covered,Low Traffic,Cloudy,Normal Day,No
Scarf,-,Aqua,Trailhead,04-02-2023,03-02-2023,Sporting Goods,04-02-2023,Repeat Reporter,Information Desk,Medium,Damaged,Covered,Low Traffic,Rainy,Normal Day,Yes
Necklace,-,IndianRed,Shopping Mall,28-03-2024,29-02-2024,Books,12-03-2024,Repeat Reporter,None,High,Excellent,Covered,Moderate Traffic,Snowy,During Event,No
Backpack,-,DarkSeaGreen,Library,09-10-2023,22-09-2023,Electronics,02-10-2023,Repeat Reporter,Security,Low,Excellent,Not Covered,High Traffic,Cloudy,During Event,Yes
Book,-,AliceBlue,Cafeteria,14-05-2024,20-04-2024,Books,28-04-2024,First Time Reporter,Housekeeping,Low,Excellent,Covered,High Traffic,Snowy,During Event,Yes
Headphones,-,DeepPink,Lecture Hall 102,19-11-2024,29-10-2024,Clothing,13-11-2024,First Time Reporter,None,Low,Excellent,Covered,Moderate Traffic,Sunny,During Event,Yes
Tablet,Cain Ltd,Crimson,Student Center,28-11-2023,23-11-2023,Personal Accessories,23-11-2023,First Time Reporter,None,Low,Damaged,Not Covered,Moderate Traffic,Rainy,During Event,Yes
Jacket,-,AntiqueWhite,Gym Locker Room,20-03-2023,15-03-2023,Electronics,20-03-2023,Repeat Reporter,Information Desk,Low,Excellent,Not Covered,High Traffic,Sunny,Normal Day,No
Book,Parker LLC,Tomato,Bus Stop,03-08-2023,06-07-2023,Clothing,01-08-2023,First Time Reporter,Security,Medium,Good,Covered,Low Traffic,Snowy,Normal Day,No
Necklace,-,Salmon,Classroom 204,29-11-2023,07-11-2023,Personal Accessories,26-11-2023,First Time Reporter,None,Low,Damaged,Not Covered,High Traffic,Rainy,During Event,No
Book,Whitney Ltd,FireBrick,Science Building,07-04-2024,10-03-2024,Personal Accessories,29-03-2024,Repeat Reporter,Housekeeping,Low,Good,Not Covered,Moderate Traffic,Sunny,Normal Day,Yes
Coffee Mug,Bernard-Wright,DarkMagenta,Quad,02-03-2024,11-02-2024,Clothing,15-02-2024,First Time Reporter,Security,Medium,Good,Not Covered,Low Traffic,Sunny,During Event,Yes
Scarf,Peters-Clements,FireBrick,Dormitory Lounge,24-07-2024,30-06-2024,Clothing,21-07-2024,Repeat Reporter,Housekeeping,Medium,Damaged,Not Covered,Low Traffic,Rainy,Normal Day,No
Cell Phone,-,Coral,Outdoor Amphitheater,02-07-2024,09-06-2024,Books,14-06-2024,First Time Reporter,Housekeeping,Low,Good,Covered,High Traffic,Snowy,During Event,No
Water Bottle,Curtis Group,LightSeaGreen,Library Study Room,16-12-2024,24-11-2024,Books,08-12-2024,Repeat Reporter,Housekeeping,Medium,Good,Not Covered,Low Traffic,Snowy,During Event,No
Watch,-,Tan,Coffee Shop,23-04-2023,15-04-2023,Sporting Goods,15-04-2023,Repeat Reporter,None,High,Damaged,Not Covered,Moderate Traffic,Sunny,During Event,Yes
Cell Phone,-,DarkSlateBlue,Basketball Court,21-09-2023,12-09-2023,Clothing,15-09-2023,First Time Reporter,None,High,Damaged,Not Covered,Moderate Traffic,Snowy,During Event,Yes
Cell Phone,-,Maroon,Park,24-01-2024,01-01-2024,Clothing,03-01-2024,First Time Reporter,None,High,Damaged,Covered,Low Traffic,Rainy,Normal Day,No
Tablet,-,GreenYellow,Stadium Bleachers,03-03-2024,04-02-2024,Books,14-02-2024,Repeat Reporter,Information Desk,Medium,Good,Not Covered,High Traffic,Cloudy,During Event,Yes
Sunglasses,Guerrero-Moore,Maroon,Common Area,23-12-2023,17-12-2023,Books,20-12-2023,First Time Reporter,Information Desk,High,Damaged,Covered,Moderate Traffic,Sunny,Normal Day,No
Laptop,-,RosyBrown,Fitness Center,31-01-2023,14-01-2023,Personal Accessories,19-01-2023,Repeat Reporter,Security,Low,Damaged,Covered,Moderate Traffic,Sunny,Normal Day,No
Watch,-,LawnGreen,Cafeteria,13-02-2023,26-01-2023,Personal Accessories,02-02-2023,First Time Reporter,Security,Medium,Damaged,Covered,Low Traffic,Snowy,Normal Day,Yes
Necklace,-,White,Skate Park,21-05-2024,03-05-2024,Clothing,08-05-2024,Repeat Reporter,Security,Low,Excellent,Not Covered,High Traffic,Cloudy,Normal Day,No
Coffee Mug,-,MediumBlue,Library Stacks,03-05-2024,28-04-2024,Personal Accessories,28-04-2024,Repeat Reporter,Security,High,Damaged,Covered,High Traffic,Snowy,During Event,No
Tablet,Hernandez and Sons,DimGray,Art Studio,07-03-2023,04-03-2023,Sporting Goods,05-03-2023,Repeat Reporter,Security,Low,Damaged,Covered,Low Traffic,Rainy,Normal Day,Yes
Headphones,-,MediumVioletRed,Student Lounge,27-01-2024,04-01-2024,Personal Accessories,11-01-2024,Repeat Reporter,Security,Medium,Damaged,Not Covered,Low Traffic,Snowy,During Event,No
Coffee Mug,-,Gainsboro,Auditorium,03-03-2023,28-02-2023,Clothing,28-02-2023,First Time Reporter,Information Desk,High,Good,Not Covered,High Traffic,Snowy,Normal Day,Yes
Headphones,-,DarkMagenta,Bus Station,21-01-2023,04-01-2023,Clothing,08-01-2023,First Time Reporter,Information Desk,High,Excellent,Not Covered,Low Traffic,Sunny,Normal Day,No
Wallet,Gibson-Ruiz,MediumSeaGreen,Soccer Field,28-10-2023,07-10-2023,Sporting Goods,22-10-2023,First Time Reporter,Security,Low,Excellent,Not Covered,Low Traffic,Snowy,During Event,Yes
Watch,"Ortiz, Williams and Edwards",PaleTurquoise,Chemistry Lab,16-06-2024,06-06-2024,Personal Accessories,16-06-2024,First Time Reporter,Information Desk,High,Damaged,Not Covered,High Traffic,Rainy,During Event,No
Phone Charger,-,Plum,Outdoor Concert Venue,21-09-2024,18-09-2024,Books,18-09-2024,Repeat Reporter,Housekeeping,Medium,Excellent,Not Covered,High Traffic,Sunny,During Event,Yes
Necklace,-,Orchid,Study Lounge,27-02-2023,25-02-2023,Books,27-02-2023,Repeat Reporter,None,Medium,Excellent,Not Covered,Low Traffic,Rainy,Normal Day,Yes
Keys,-,Navy,Beach,10-03-2024,21-02-2024,Electronics,06-03-2024,First Time Reporter,Information Desk,Low,Damaged,Covered,Moderate Traffic,Rainy,Normal Day,No
Wallet,Hill Group,MediumBlue,Dormitory Hallway,07-02-2024,08-01-2024,Clothing,18-01-2024,First Time Reporter,None,Medium,Damaged,Not Covered,Low Traffic,Sunny,During Event,Yes
Backpack,-,Cornsilk,Lecture Hall Lobby,16-09-2024,23-08-2024,Books,10-09-2024,Repeat Reporter,Housekeeping,Low,Good,Covered,Low Traffic,Rainy,During Event,Yes
Backpack,Harper-Paul,MediumOrchid,Bookstore,17-01-2024,25-12-2023,Clothing,13-01-2024,First Time Reporter,None,Low,Good,Not Covered,Low Traffic,Snowy,During Event,No
Sunglasses,Williams-Maynard,Ivory,Music Studio,19-08-2024,03-08-2024,Personal Accessories,07-08-2024,Repeat Reporter,Information Desk,Medium,Excellent,Covered,Moderate Traffic,Cloudy,Normal Day,No
Coffee Mug,-,HoneyDew,Computer Lab,29-08-2023,18-08-2023,Sporting Goods,22-08-2023,Repeat Reporter,Security,Low,Good,Not Covered,Moderate Traffic,Cloudy,Normal Day,Yes
Coffee Mug,-,DarkCyan,Botanical Garden,20-11-2023,05-11-2023,Personal Accessories,06-11-2023,Repeat Reporter,None,High,Good,Covered,Low Traffic,Rainy,During Event,Yes
Necklace,Dyer-Estrada,DarkMagenta,Theme Park Entrance,27-12-2023,03-12-2023,Books,20-12-2023,First Time Reporter,Information Desk,Low,Damaged,Not Covered,High Traffic,Snowy,Normal Day,Yes
Tumbler,-,Beige,Shopping Mall,21-07-2023,23-06-2023,Books,24-06-2023,First Time Reporter,Security,High,Good,Covered,Moderate Traffic,Rainy,Normal Day,Yes
Cell Phone,"Bell, Stewart and Diaz",Silver,Rooftop Bar,22-09-2023,27-08-2023,Electronics,15-09-2023,Repeat Reporter,None,Medium,Good,Not Covered,Low Traffic,Snowy,During Event,Yes
Tablet,-,MediumPurple,Gym,08-11-2024,16-10-2024,Personal Accessories,19-10-2024,First Time Reporter,Security,Low,Good,Not Covered,High Traffic,Sunny,During Event,Yes
ID Card,"Garcia, Murphy and Bryant",DarkSlateGray,Ice Skating Rink,22-06-2024,04-06-2024,Books,12-06-2024,Repeat Reporter,Security,High,Excellent,Covered,Moderate Traffic,Sunny,Normal Day,No
Water Bottle,-,PaleGreen,Student Center,01-05-2023,10-04-2023,Sporting Goods,12-04-2023,First Time Reporter,Security,Low,Excellent,Not Covered,High Traffic,Cloudy,Normal Day,No
Laptop,Fuller-Martinez,Moccasin,Coffee Shop Patio,13-08-2024,24-07-2024,Sporting Goods,13-08-2024,First Time Reporter,Security,Low,Damaged,Covered,Moderate Traffic,Cloudy,During Event,No
